,,K-Means clustering,,,,,,,,,,,,,,,,,Finale cluster Result,
21,7.84209,1.96345,2,,6.469650625,1.247792229,2,,6.402776061,1.397282125,2,,0,,,,,,,
22,8.3717,1.25384,2,,7.197957292,1.609224277,2,,7.191044848,1.627857875,2,,0,,,,,,,
23,1.77067,8.33621,1,,2.336993958,7.788341265,1,,2.452505758,7.878852875,1,,0,,,,,,,
24,7.12292,4.70262,2,,3.940762708,4.383802952,1,,3.882599394,4.541362125,1,,0,,,,,,,
25,13.85109,13.01663,2,,14.29074729,12.48635163,2,,14.27959242,12.47739788,2,,0,,,,,,,
26,8.87143,0.63411,2,,7.500310625,1.059253313,2,,7.433436061,0.920627875,2,,0,,,,,,,
27,8.60033,2.10587,2,,7.357487292,2.428121747,2,,7.335196061,2.323637875,2,,0,,,,,,,
28,8.46131,0.68423,2,,7.191680625,1.290096205,2,,7.112040909,1.100747875,2,,0,,,,,,,
29,5.76599,8.66045,1,,4.431332708,8.322535602,1,,4.367790606,8.382682125,1,,0,,,,,,,
30,9.14604,4.5805,2,,7.947632708,4.719814518,2,,7.74178,4.718107125,2,,0,,,,,,,
31,6.31346,8.91208,1,,4.712552708,8.646391145,1,,4.736472727,8.791402125,1,,0,,,,,,,
32,9.22478,2.98076,2,,8.663456042,3.118554518,2,,8.472338182,3.116847125,2,,0,,,,,,,
33,3.95035,8.97519,1,,4.775973958,8.737080301,1,,4.891485758,8.670332875,1,,0,,,,,,,
34,7.97023,0.89531,2,,6.759427292,0.967320783,2,,6.752514848,0.933202875,2,,0,,,,,,,
35,8.54214,5.04768,2,,8.342213958,4.621618494,2,,8.305187879,4.613572875,2,,0,,,,,,,
36,8.39138,1.27416,2,,7.638277292,1.839303313,2,,7.631364848,1.700677875,2,,0,,,,,,,
37,8.57067,1.49487,2,,7.201070625,1.341941024,2,,7.134196061,1.229387875,2,,0,,,,,,,
38,8.64088,1.48466,2,,7.328777292,2.006911747,2,,7.321864848,1.902427875,2,,0,,,,,,,
39,8.17476,2.73078,2,,6.833436042,2.688534518,2,,6.642318182,2.686827125,2,,0,,,,,,,
40,8.92504,4.4205,2,,8.186632708,4.558814518,2,,7.98078,4.557107125,2,,0,,,,,,,
41,8.56052,2.36606,2,,7.831427292,2.44409488,2,,7.811749697,2.342202875,2,,0,,,,,,,
42,3.84293,8.48261,1,,2.952439375,8.040800904,1,,2.946245758,8.132497125,1,,0,,,,,,,
43,11.00154,11.816,1,,8.982716042,11.55724223,1,,8.946673939,11.71335713,1,,0,,,,,,,
44,8.23047,0.63507,2,,6.962520625,0.75310488,2,,6.882880909,0.651212875,2,,0,,,,,,,
45,7.6642,8.80134,1,,5.105376042,8.021950422,1,,5.069333939,8.158892125,1,,0,,,,,,,
46,8.79085,2.61469,2,,7.420890625,2.741761024,2,,7.354016061,2.629207875,2,,0,,,,,,,
47,11.55492,7.20046,2,,9.786243958,7.030302108,2,,9.745240606,6.976102875,2,,0,,,,,,,
48,8.23237,1.29317,2,,6.859370625,0.700963795,2,,6.792496061,0.667562125,2,,0,,,,,,,
49,1.51017,8.55537,1,,2.778653958,8.027501265,1,,2.808332424,8.118012875,1,,0,,,,,,,
50,1.61104,8.5345,1,,3.475283958,8.006631265,1,,3.590795758,8.097142875,1,,0,,,,,,,
51,8.6603,1.74584,2,,7.629957292,2.208091747,2,,7.623044848,2.103607875,2,,0,,,,,,,
52,9.02206,1.26348,2,,7.750930625,1.341497169,2,,7.671290909,1.285127125,2,,0,,,,,,,
53,8.05153,1.99401,2,,6.680210625,1.291321988,2,,6.613336061,1.427402875,2,,0,,,,,,,
54,7.76037,1.58517,2,,6.570537292,1.46320488,2,,6.550859697,1.588937875,2,,0,,,,,,,
55,7.08035,2.08589,2,,7.263340625,1.995973072,2,,7.119761515,1.972907875,2,,0,,,,,,,
56,8.14056,0.4661,2,,6.772300625,0.616183072,2,,6.705426061,0.463992875,2,,0,,,,,,,
57,7.05214,1.6934,2,,5.619600625,1.595914518,2,,5.552726061,1.719332125,2,,0,,,,,,,
58,3.04028,8.66526,1,,4.466043958,8.427150301,1,,4.581555758,8.360402875,1,,0,,,,,,,
59,8.2903,1.71584,2,,7.399957292,1.798091747,2,,7.393044848,1.704982875,2,,0,,,,,,,
60,12.15215,9.39339,2,,11.82750729,8.863394398,2,,11.81635242,8.854717125,2,,0,,,,,,,
61,8.72004,1.3255,2,,7.351700625,1.767751747,2,,7.284826061,1.663267875,2,,0,,,,,,,
62,8.36013,0.76567,2,,6.991870625,0.792861506,2,,6.924996061,0.635062875,2,,0,,,,,,,
63,7.26188,1.88366,2,,5.889860625,1.578803313,2,,5.860864848,1.735197125,2,,0,,,,,,,
64,8.4212,0.92434,2,,7.368457292,1.614423072,2,,7.361544848,1.430857875,2,,0,,,,,,,
65,8.51034,2.21588,2,,7.941247292,2.23391488,2,,7.921569697,2.183397875,2,,0,,,,,,,
66,9.796,3.13046,2,,7.240509375,3.404834759,2,,7.013861212,3.456442125,2,,0,,,,,,,
67,5.27043,7.91511,1,,3.501727292,7.714470181,1,,3.679890606,7.871752875,1,,0,,,,,,,
68,8.6104,1.89514,2,,7.400507292,2.13317488,2,,7.380829697,2.031282875,2,,0,,,,,,,
69,7.62311,2.22243,2,,6.963036042,2.008571265,2,,6.75915303,1.963302125,2,,0,,,,,,,
70,2.59115,8.83669,1,,4.637473958,8.598580301,1,,4.752985758,8.531832875,1,,0,,,,,,,
71,7.94246,0.88308,2,,6.670530625,0.802017651,2,,6.590890909,0.928027125,2,,0,,,,,,,
72,1.94014,8.48568,1,,3.806880625,7.957811265,1,,3.896521212,8.048322875,1,,0,,,,,,,
73,7.85197,4.17357,2,,7.111020625,4.143653072,2,,6.967441515,4.257037125,2,,0,,,,,,,
74,8.53228,0.61326,2,,7.260710625,1.290512349,2,,7.181070909,1.153847125,2,,0,,,,,,,
75,9.23166,1.17388,2,,7.961330625,1.394685964,2,,7.881690909,1.303897875,2,,0,,,,,,,
76,6.67155,1.87399,2,,5.499357292,1.55202488,2,,5.479679697,1.677757875,2,,0,,,,,,,
77,8.28013,0.88567,2,,6.911870625,0.922620542,2,,6.844996061,0.835187875,2,,0,,,,,,,
78,7.64288,2.26266,2,,7.164472708,2.336654518,2,,6.95862,2.334947125,2,,0,,,,,,,
79,8.39064,1.0349,1,,7.021100625,1.337151747,1,,6.954226061,1.232667875,1,,0,,,,,,,
80,5.03229,4.31325,2,,4.414450625,3.730160904,2,,4.208939697,3.821857125,2,,0,,,,,,,
81,9.40587,3.70033,2,,7.224546042,3.839644518,2,,7.033428182,3.837937125,2,,0,,,,,,,
82,8.32161,0.64393,2,,6.950130625,1.009073313,2,,6.883256061,0.870447875,2,,0,,,,,,,
83,9.73697,4.35143,2,,7.362729375,4.366527651,2,,7.123316061,4.367412125,2,,0,,,,,,,
84,7.66107,3.28447,2,,5.910670625,3.083830181,2,,5.843796061,3.241112875,2,,0,,,,,,,
85,2.16006,8.5056,1,,3.926383958,7.977731265,1,,4.041895758,8.068242875,1,,0,,,,,,,
86,8.49029,1.49583,2,,7.223280625,1.69386488,2,,7.143640909,1.591972875,2,,0,,,,,,,
87,8.80343,4.22211,2,,8.965022708,4.357204518,2,,8.75917,4.355497125,2,,0,,,,,,,
88,10.00742,8.92188,2,,9.228596042,8.193604157,2,,9.048614545,8.185737125,2,,0,,,,,,,
89,8.02303,1.66251,2,,6.550872708,1.082467169,2,,6.470891212,1.253722125,2,,0,,,,,,,
90,7.87032,0.89522,2,,6.501420625,0.412170542,2,,6.434546061,0.452237875,2,,0,,,,,,,
91,9.35224,0.8933,2,,7.979500625,1.458785602,2,,7.912626061,1.365682125,2,,0,,,,,,,
92,7.43156,2.11398,2,,7.010180625,2.546352229,2,,6.879366667,2.499122875,2,,0,,,,,,,
93,8.19002,1.03552,2,,6.853803958,1.194759699,2,,6.754846061,1.024412875,2,,0,,,,,,,
94,8.22042,1.54512,2,,6.952570625,1.243034398,2,,6.872930909,1.197762875,2,,0,,,,,,,
95,8.20132,1.42422,2,,7.368337292,1.569363313,2,,7.361424848,1.609612875,2,,0,,,,,,,
96,8.2412,2.94434,2,,8.029707292,2.96237488,2,,8.010029697,3.088107875,2,,0,,,,,,,
97,8.72624,8.0007,2,,7.041166042,7.291942229,1,,7.003798182,7.441432125,1,,0,,,,,,,
98,8.60131,1.14423,2,,7.348347292,1.954313072,2,,7.341434848,1.762372875,2,,0,,,,,,,
99,8.48163,1.58391,2,,7.249277292,1.59507741,2,,7.229599697,1.667677875,2,,0,,,,,,,
100,0,8.54554,1,,3.627990625,7.893454398,1,,3.704866061,7.986557875,1,,0,,,,,,,
101,8.07286,2.35268,2,,6.762369375,1.750369458,2,,6.680418182,1.771552125,2,,0,,,,,,,
102,10.55852,12.05298,1,,7.914279375,11.3750656,1,,8.03395697,11.58046213,1,,0,,,,,,,
103,8.5614,0.90414,2,,7.348257292,1.549283313,2,,7.341344848,1.410657875,2,,0,,,,,,,
104,3.49022,8.57532,1,,4.076103958,8.047451265,1,,4.191615758,8.137962875,1,,0,,,,,,,
105,8.60023,1.06531,2,,7.231510625,1.455393072,2,,7.164636061,1.263452875,2,,0,,,,,,,
106,8.9359,4.29036,2,,7.897492708,4.429674518,2,,7.69164,4.427967125,2,,0,,,,,,,
107,9.20049,4.80603,2,,9.228480625,4.720932349,2,,9.010204545,4.598422875,2,,0,,,,,,,
108,8.54005,1.30559,2,,7.171790625,1.587841747,2,,7.104916061,1.483357875,2,,0,,,,,,,
109,8.80218,1.60336,2,,7.350810625,1.714749699,2,,7.271170909,1.781497125,2,,0,,,,,,,
110,9.10044,4.3549,2,,7.383282708,4.369997651,2,,7.164664848,4.370882125,2,,0,,,,,,,
111,8.03156,0.61398,2,,6.660180625,0.545990783,2,,6.593306061,0.550622875,2,,0,,,,,,,
112,8.33174,1.3338,2,,7.017917292,1.286292711,2,,7.011004848,1.339067875,2,,0,,,,,,,
113,7.04032,2.72522,2,,6.450587292,2.296146446,2,,6.430909697,2.455112875,2,,0,,,,,,,
114,7.58146,1.04408,2,,6.922363958,1.626211265,2,,6.731587879,1.449222875,2,,0,,,,,,,
115,3.88062,8.80492,1,,4.605703958,8.566810301,1,,4.721215758,8.500062875,1,,0,,,,,,,
116,2.66088,8.56466,1,,4.165443958,8.126550301,1,,4.280955758,8.127302875,1,,0,,,,,,,
117,7.59282,1.25272,2,,6.871496042,1.406715,2,,6.680378182,1.359762125,2,,0,,,,,,,
118,8.60033,1.72587,2,,7.609987292,2.168121747,2,,7.603074848,2.063637875,2,,0,,,,,,,
119,8.53051,2.31503,2,,8.019147292,2.637281747,2,,8.012234848,2.532797875,2,,0,,,,,,,
120,5.32346,9.60208,1,,5.085469375,9.54422247,1,,5.094654545,9.601777125,1,,0,,,,,,,
121,8.57249,1.13305,2,,7.300500625,1.191927169,2,,7.220860909,1.135557125,2,,0,,,,,,,
122,11.42041,13.19487,1,,9.999502708,13.29623271,1,,10.02342273,13.40710213,1,,0,,,,,,,
123,9.40529,2.84025,2,,7.065216042,2.949907892,2,,6.86133303,3.004107125,2,,0,,,,,,,
124,8.13097,0.59457,2,,6.760770625,1.016701265,2,,6.693896061,0.812712875,2,,0,,,,,,,
125,9.06216,1.22338,2,,7.790830625,1.254850181,2,,7.711190909,1.321477125,2,,0,,,,,,,
126,8.14018,1.50572,2,,7.081920625,1.60001994,2,,7.022924848,1.514362875,2,,0,,,,,,,
127,9.11991,11.27437,1,,6.942336042,10.37344355,1,,6.893528788,10.51297713,1,,0,,,,,,,
128,8.21138,1.75416,2,,6.903277292,1.973399699,2,,6.821667879,1.803052875,2,,0,,,,,,,
129,8.51051,1.97503,2,,7.559147292,2.377281747,2,,7.552234848,2.272797875,2,,0,,,,,,,
130,8.83188,0.85366,2,,7.459860625,1.463743072,2,,7.392986061,1.271822125,2,,0,,,,,,,
131,8.22006,2.12548,2,,7.549597292,2.214599217,2,,7.542684848,2.214622875,2,,0,,,,,,,
132,8.65027,1.85581,2,,7.639927292,2.258061747,2,,7.633014848,2.153577875,2,,0,,,,,,,
133,8.81022,1.67532,2,,7.441520625,1.662391024,2,,7.374646061,1.549837875,2,,0,,,,,,,
134,2.22109,8.80663,1,,4.687830625,8.568520301,1,,4.777471212,8.501772875,1,,0,,,,,,,
135,6.38314,3.7024,2,,4.401816042,3.56390247,2,,4.210698182,3.621457125,2,,0,,,,,,,
136,1.04092,8.42646,1,,3.107243958,7.898591265,1,,3.222755758,7.989102875,1,,0,,,,,,,
137,6.37445,4.53109,2,,4.042292708,3.571718494,2,,3.962311212,3.722892125,2,,0,,,,,,,
138,8.34084,1.8847,2,,6.970900625,1.611771024,2,,6.904026061,1.499217875,2,,0,,,,,,,
139,8.3217,0.72384,2,,6.950040625,0.726091747,2,,6.883166061,0.621607875,2,,0,,,,,,,
140,8.74588,4.02034,2,,8.408722708,4.035437651,2,,8.190104848,4.036322125,2,,0,,,,,,,
141,8.41141,0.79413,2,,7.178247292,1.379273313,2,,7.171334848,1.240647875,2,,0,,,,,,,
142,0.56078,8.46632,1,,3.088353958,7.838451265,1,,3.191100606,7.928962875,1,,0,,,,,,,
143,9.1002,1.58534,2,,7.731540625,1.887591747,2,,7.664666061,1.783107875,2,,0,,,,,,,
144,8.37022,1.53532,2,,7.102770625,1.318294639,2,,7.023130909,1.163087875,2,,0,,,,,,,
145,12.06116,13.57562,1,,10.38025271,13.67698271,1,,10.40417273,13.78785213,1,,0,,,,,,,
146,5.50206,4.82348,2,,5.224680625,4.039810422,2,,5.019169697,4.176752125,2,,0,,,,,,,
147,6.18195,9.50359,1,,5.262290625,9.442829699,1,,5.286552424,9.500267125,1,,0,,,,,,,
148,5.02265,7.50289,1,,3.364242708,6.720400422,1,,3.158579697,6.857342125,1,,0,,,,,,,
149,8.54031,2.26585,2,,7.737467292,2.408101747,2,,7.715176061,2.303617875,2,,0,,,,,,,
150,8.61039,1.81515,2,,7.500517292,1.888968012,2,,7.480839697,1.786167875,2,,0,,,,,,,
151,11.71102,7.38548,2,,9.255529375,6.971661988,2,,9.028881212,7.074462125,2,,0,,,,,,,
152,8.89221,0.79333,2,,7.519530625,0.998755602,2,,7.452656061,0.916902125,2,,0,,,,,,,
153,6.87185,1.69369,2,,5.499890625,1.620881506,2,,5.433016061,1.690707875,2,,0,,,,,,,
154,8.00692,1.40138,2,,6.633512708,0.895513795,2,,6.566296364,1.010862125,2,,0,,,,,,,
155,8.71029,1.75525,2,,7.341450625,1.662321024,2,,7.274576061,1.549767875,2,,0,,,,,,,
156,8.45008,1.49546,2,,7.081660625,1.762651506,2,,7.014786061,1.604852875,2,,0,,,,,,,
157,7.18746,8.82192,1,,4.648636042,8.045210422,1,,4.612593939,8.182152125,1,,0,,,,,,,
158,9.11177,2.55377,2,,7.841220625,2.556624157,2,,7.761580909,2.446662875,2,,0,,,,,,,
159,8.37152,1.27402,2,,7.179387292,1.410729578,2,,7.159709697,1.273787875,2,,0,,,,,,,
160,1.80021,8.60575,1,,3.847783958,7.953664398,1,,3.950530606,8.046767875,1,,0,,,,,,,
161,8.82269,1.20285,2,,7.550532708,1.349958494,2,,7.470660909,1.206132125,2,,0,,,,,,,
162,7.42066,2.56488,2,,6.608997292,2.613999217,2,,6.602084848,2.614022875,2,,0,,,,,,,
163,8.72408,1.24962,2,,7.554987292,1.710546446,2,,7.535309697,1.574512875,2,,0,,,,,,,
164,8.36128,1.12426,2,,7.168377292,1.406511747,2,,7.161464848,1.309527875,2,,0,,,,,,,
165,3.0906,8.59494,1,,4.316973958,8.232613434,1,,4.419720606,8.168457875,1,,0,,,,,,,
166,3.53096,8.57458,1,,4.276613958,8.192253434,1,,4.379360606,8.128097875,1,,0,,,,,,,
167,8.93549,2.85005,2,,7.055416042,2.865047651,2,,6.85153303,2.865932125,2,,0,,,,,,,
168,8.08275,1.90279,2,,6.709342708,1.391343795,2,,6.642126364,1.506692125,2,,0,,,,,,,
169,8.45119,1.01435,2,,7.378467292,1.579493313,2,,7.371554848,1.440867875,2,,0,,,,,,,
170,9.64548,6.92006,2,,6.417906042,6.658411145,1,,6.315159394,6.803422125,1,,0,,,,,,,
171,7.90173,2.32381,2,,6.631260625,1.48377259,2,,6.551620909,1.635577875,2,,0,,,,,,,
172,3.92109,8.50445,1,,4.199817292,8.086340301,1,,4.270745758,8.067092875,1,,0,,,,,,,
173,8.04005,1.98559,2,,6.941790625,2.144829699,2,,6.810976667,1.974482875,2,,0,,,,,,,
174,9.30529,2.74025,2,,6.965216042,2.849907892,2,,6.76133303,2.904107125,2,,0,,,,,,,
175,8.29132,0.99422,2,,7.139587292,1.35225488,2,,7.119909697,1.250362875,2,,0,,,,,,,
176,8.31125,1.35429,2,,7.599657292,1.755216446,2,,7.579979697,1.619182875,2,,0,,,,,,,
177,4.3201,5.02564,1,,3.784340625,4.497771265,1,,3.66466303,4.588282875,1,,0,,,,,,,
178,8.4014,1.44414,2,,7.748257292,1.949283313,2,,7.741344848,1.810657875,2,,0,,,,,,,
179,14.7877,15.66216,1,,12.75012604,15.27918536,1,,12.70131879,15.43789213,1,,0,,,,,,,
180,7.04554,6.82,2,,4.090049375,6.043290422,1,,3.863401212,6.180232125,1,,0,,,,,,,
181,8.9505,1.63504,2,,7.682490625,1.557894157,2,,7.602850909,1.456307875,2,,0,,,,,,,
182,8.27208,11.45346,1,,7.578827292,11.28344488,1,,7.723695152,11.22952213,1,,0,,,,,,,
183,6.79397,6.95157,1,,4.062646042,6.047503554,1,,3.808497879,6.187037125,1,,0,,,,,,,
184,8.9359,4.29036,2,,7.897492708,4.429674518,2,,7.69164,4.427967125,2,,0,,,,,,,
185,8.44133,1.02421,2,,7.688327292,1.889353313,2,,7.681414848,1.750727875,2,,0,,,,,,,
186,10.50508,13.75062,1,,12.12640396,13.97961873,1,,12.17146121,13.87963788,1,,0,,,,,,,
187,5.82496,8.02058,1,,4.288636042,7.633674277,1,,4.109184848,7.781277125,1,,0,,,,,,,
188,7.64033,1.50587,2,,6.762070625,1.44703741,2,,6.631256667,1.434512875,2,,0,,,,,,,
189,8.18277,1.98277,2,,6.809362708,1.421604759,2,,6.742146364,1.466587125,2,,0,,,,,,,
190,8.56044,0.5451,2,,7.191300625,1.030243313,2,,7.124426061,0.919117875,2,,0,,,,,,,
191,8.3216,1.30394,2,,6.988057292,1.376432711,2,,6.981144848,1.429207875,2,,0,,,,,,,
192,8.94223,1.24331,2,,7.569510625,1.313715361,2,,7.502636061,1.198547125,2,,0,,,,,,,
193,1.93,8.67554,1,,3.518407292,7.867671265,1,,3.57395697,7.958182875,1,,0,,,,,,,
194,7.82054,1.70608,2,,7.262280625,1.82037994,2,,7.131466667,1.703347875,2,,0,,,,,,,
195,2.94442,8.64112,1,,4.445596042,8.407833072,1,,4.560766061,8.341362125,1,,0,,,,,,,
196,5.97282,4.47272,2,,4.674412708,3.690570422,2,,4.46856,3.827512125,2,,0,,,,,,,
197,5.59371,7.51183,1,,2.960719375,7.106641145,1,,3.108540909,7.251652125,1,,0,,,,,,,
198,9.24549,3.16005,2,,7.445416042,3.175047651,2,,7.24153303,3.175932125,2,,0,,,,,,,
199,8.0613,1.86424,2,,7.649607292,1.906491747,2,,7.629929697,1.802007875,2,,0,,,,,,,
200,8.54554,0,2,,7.172132708,1.012206084,2,,7.104916364,0.873857125,2,,0,,,,,,,
201,6.26324,6.80878,1,,7.487897292,6.674887169,2,,7.342348485,6.609047875,2,,0,,,,,,,
202,9.74528,8.38026,2,,7.535622708,8.186162952,1,,7.492838182,8.343722125,1,,0,,,,,,,
203,8.46127,1.04427,2,,7.191720625,1.30230488,2,,7.112080909,1.200412875,2,,0,,,,,,,
204,8.35145,1.53409,2,,7.379457292,1.58525741,2,,7.359779697,1.606482875,2,,0,,,,,,,
205,8.29295,2.07259,2,,7.282459375,2.001543795,2,,7.200508182,1.889267125,2,,0,,,,,,,
206,8.8303,9.97524,1,,8.916023958,10.05749175,1,,9.099717576,10.18063288,1,,0,,,,,,,
207,8.72573,4.00019,2,,8.447322708,4.139504518,2,,8.24147,4.137797125,2,,0,,,,,,,
208,8.38086,1.54468,2,,7.010880625,1.706931747,2,,6.944006061,1.602447875,2,,0,,,,,,,
209,8.56071,1.08483,2,,7.191030625,1.000214277,2,,7.124156061,1.018847875,2,,0,,,,,,,
210,9.25529,2.75025,2,,6.895216042,2.719907892,2,,6.69133303,2.774107125,2,,0,,,,,,,
211,9.30225,2.06329,2,,8.030740625,2.189518494,2,,7.951100909,2.045692125,2,,0,,,,,,,
212,8.57161,1.15393,2,,7.558047292,1.829314277,2,,7.551134848,1.847947875,2,,0,,,,,,,
213,9.08218,1.60336,2,,7.810810625,1.834749699,2,,7.731170909,1.901497125,2,,0,,,,,,,
214,12.96302,15.06856,1,,13.89684396,14.79755873,1,,14.06515879,14.84282788,1,,0,,,,,,,
